benchmark,k,mean_power,ci_lo_95,ci_hi_95,r2_obs,r2_shift,power_shifted
HellaSwag,12,0.1485,0.1329,0.1641,0.0043,lo,0.166
HellaSwag,12,0.1485,0.1329,0.1641,0.0043,hi,0.156
HellaSwag,13,0.159,0.143,0.175,0.0043,lo,0.15
HellaSwag,13,0.159,0.143,0.175,0.0043,hi,0.124
HellaSwag,14,0.1625,0.1463,0.1787,0.0043,lo,0.134
HellaSwag,14,0.1625,0.1463,0.1787,0.0043,hi,0.12
HellaSwag,15,0.149,0.1334,0.1646,0.0043,lo,0.114
HellaSwag,15,0.149,0.1334,0.1646,0.0043,hi,0.178
HellaSwag,16,0.141,0.1257,0.1563,0.0043,lo,0.158
HellaSwag,16,0.141,0.1257,0.1563,0.0043,hi,0.134
HellaSwag,17,0.1385,0.1234,0.1536,0.0043,lo,0.146
HellaSwag,17,0.1385,0.1234,0.1536,0.0043,hi,0.134
HellaSwag,18,0.143,0.1277,0.1583,0.0043,lo,0.172
HellaSwag,18,0.143,0.1277,0.1583,0.0043,hi,0.14
HellaSwag,19,0.152,0.1363,0.1677,0.0043,lo,0.126
HellaSwag,19,0.152,0.1363,0.1677,0.0043,hi,0.126
HellaSwag,20,0.1405,0.1253,0.1557,0.0043,lo,0.174
HellaSwag,20,0.1405,0.1253,0.1557,0.0043,hi,0.152
HumanEval,2,0.5835,0.5619,0.6051,0.0299,lo,0.57
HumanEval,2,0.5835,0.5619,0.6051,0.0299,hi,0.6
HumanEval,3,0.4255,0.4038,0.4472,0.0299,lo,0.406
HumanEval,3,0.4255,0.4038,0.4472,0.0299,hi,0.382
HumanEval,4,0.393,0.3716,0.4144,0.0299,lo,0.402
HumanEval,4,0.393,0.3716,0.4144,0.0299,hi,0.39
HumanEval,5,0.401,0.3795,0.4225,0.0299,lo,0.392
HumanEval,5,0.401,0.3795,0.4225,0.0299,hi,0.396
HumanEval,6,0.4235,0.4018,0.4452,0.0299,lo,0.398
HumanEval,6,0.4235,0.4018,0.4452,0.0299,hi,0.438
HumanEval,7,0.4285,0.4068,0.4502,0.0299,lo,0.454
HumanEval,7,0.4285,0.4068,0.4502,0.0299,hi,0.424
HumanEval,8,0.464,0.4421,0.4859,0.0299,lo,0.406
HumanEval,8,0.464,0.4421,0.4859,0.0299,hi,0.464
HumanEval,9,0.462,0.4401,0.4839,0.0299,lo,0.462
HumanEval,9,0.462,0.4401,0.4839,0.0299,hi,0.514
HumanEval,10,0.5055,0.4836,0.5274,0.0299,lo,0.504
HumanEval,10,0.5055,0.4836,0.5274,0.0299,hi,0.48
